wallet_id,risk_score,transaction_count,total_borrowed,total_supplied,net_worth,unique_tokens,liquidation_count,max_leverage,position_concentration,leverage_risk,liquidity_risk,activity_risk,diversification_risk,liquidation_risk,behavioral_risk
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,755,5,0.0,11.45,11.45,4,0,0,1.0,0.0,0.94,0.79,0.42,0.0,1.0
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,660,5,0.0,12.91,12.91,3,0,0,0.535,0.0,0.754,0.37,0.52,0.0,0.75
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,789,8,0.0,1200.43,1200.43,2,0,0,1.0,0.0,0.904,0.93,0.66,0.0,1.0
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,827,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.56,0.0,1.0
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,823,6,0.0,0.0,0.0,3,0,0,1.0,0.3,0.928,0.79,0.56,0.0,1.0
0xebb8629e8a3ec86cf90cb7600264415640834483,777,5,0.0,0.0,0.0,3,0,0,1.0,0.3,0.94,0.37,0.56,0.0,0.824
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,781,2,0.0,2.52,2.52,2,0,0,1.0,0.0,0.976,0.79,0.62,0.0,1.0
0xf10fd8921019615a856c1e95c7cd3632de34edc4,751,9,0.0,0.0,0.0,2,0,0,1.0,0.3,0.892,0.37,0.66,0.0,0.4
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,518,63,0.0,605018.86,605018.86,6,0,0,0.966,0.0,0.387,0.365,0.301,0.0,0.662
0xf54f36bca969800fd7d63a68029561309938c09b,827,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.56,0.0,1.0
0xf60304b534f74977e159b2e159e135475c245526,783,11,0.0,0.0,0.0,2,0,0,1.0,0.3,0.868,0.31,0.66,0.0,1.0
0xf67e8e5805835465f7eba988259db882ab726800,827,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.56,0.0,1.0
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,824,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.52,0.0,1.0
0xf80a8b9cfff0febf49914c269fb8aead4a22f847,728,6,0.0,59.75,59.75,2,0,0,1.0,0.0,0.928,0.328,0.66,0.0,1.0
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,827,3,0.0,0.0,0.0,3,0,0,1.0,0.3,0.964,0.79,0.56,0.0,1.0
